# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.1015	Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium
ASV.10150	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales
ASV.10151	Bacteria;Candidatus Kapabacteria;Kapabacteria;Kapabacteriales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10152	Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium
ASV.10153	Bacteria;Acidobacteriota;Holophagae;Subgroup 7;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10154	Bacteria;Actinomycetota;MB-A2-108;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.10155	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium chungnamense
ASV.10156	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV.10159	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV.1016	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.10160	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;uncultured bacterium
ASV.10161	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans;uncultured bacterium
ASV.10162	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Polymorphobacter;uncultured bacterium
ASV.10163	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV.10164	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
ASV.10166	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.10168	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10169	Bacteria;Incertae Sedis;Incertae Sedis;SJA-28;Incertae Sedis;Incertae Sedis
ASV.1017	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium
ASV.10170	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Incertae Sedis
ASV.10171	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;uncultured bacterium
ASV.10172	Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
ASV.10173	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;Incertae Sedis
ASV.10174	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;Incertae Sedis
ASV.10175	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;alphaI cluster;metagenome
ASV.10176	Bacteria
ASV.10177	Bacteria;Acidobacteriota;Subgroup 18;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium gp18
ASV.10178	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
ASV.10179	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Incertae Sedis;Incertae Sedis;metagenome
ASV.1018	Bacteria;Cyanobacteriota;Cyanobacteriia;Eurycoccales;Eurycoccales Incertae Sedis;Candidatus Gloeomargarita;uncultured cyanobacterium
ASV.10180	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;Incertae Sedis;uncultured bacterium
ASV.10181	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae
ASV.10182	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae
ASV.10183	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis;uncultured planctomycete
ASV.10184	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae
ASV.10185	Bacteria;Planctomycetota;vadinHA49;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.10186	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Incertae Sedis;uncultured gamma proteobacterium
ASV.10187	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus
ASV.10188	Bacteria
ASV.10189	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;Incertae Sedis;metagenome
ASV.1019	Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium
ASV.10190	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Rubritaleaceae;Luteolibacter
ASV.10191	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;metagenome
ASV.10192	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Arcicella;uncultured bacterium GKS2-216
ASV.10193	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Roseiarcus;uncultured bacterium
ASV.10194	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Incertae Sedis;Incertae Sedis;uncultured soil bacterium PBS-21
ASV.10195	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Incertae Sedis
ASV.10196	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae
ASV.10197	Bacteria;Acidobacteriota;Subgroup 18;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
