accession	species	domain	phylum	class	order	family	genus	taxonomy	methanotrophy.value	methanogenesis.value	methanogenesis_by_disproportionation_of_methyl_groups.value	acetoclastic_methanogenesis.value	methanogenesis_using_formate.value	methanogenesis_by_CO2_reduction_with_H2.value	methanogenesis_by_reduction_of_methyl_compounds_with_H2.value	hydrogenotrophic_methanogenesis.value	methanol_oxidation.value	methylotrophy.value	aerobic_ammonia_oxidation.value	aerobic_nitrite_oxidation.value	nitrification.value	sulfate_respiration.value	sulfur_respiration.value	dark_sulfite_oxidation.value	sulfite_respiration.value	thiosulfate_respiration.value	respiration_of_sulfur_compounds.value	arsenate_detoxification.value	arsenate_respiration.value	dissimilatory_arsenate_reduction.value	arsenite_oxidation_detoxification.value	arsenite_oxidation_energy_yielding.value	dissimilatory_arsenite_oxidation.value	anammox.value	nitrate_denitrification.value	nitrite_denitrification.value	nitrous_oxide_denitrification.value	chitinolysis.value	knallgas_bacteria.value	dark_hydrogen_oxidation.value	nitrogen_fixation.value	nitrate_ammonification.value	nitrite_ammonification.value	nitrite_respiration.value	gelatin_degradation.value	cellulolysis.value	xylanolysis.value	dark_sulfide_oxidation.value	dark_sulfur_oxidation.value	dark_thiosulfate_oxidation.value	dark_oxidation_of_sulfur_compounds.value	manganese_oxidation.value	manganese_respiration.value	ligninolysis.value	fermentation.value	lactic_acid_fermentation.value	alcohol_fermentation.value	aerobic_chemoheterotrophy.value	invertebrate_parasites.value	human_pathogens_septicemia.value	human_pathogens_pneumonia.value	human_pathogens_nosocomia.value	human_pathogens_meningitis.value	human_pathogens_gastroenteritis.value	human_pathogens_diarrhea.value	human_pathogens_all.value	fish_parasites.value	human_gut.value	human_associated.value	mammal_gut.value	animal_parasites_or_symbionts.value	plant_pathogen.value	oil_bioremediation.value	aromatic_hydrocarbon_degradation.value	aromatic_compound_degradation.value	aliphatic_non_methane_hydrocarbon_degradation.value	hydrocarbon_degradation.value	dark_iron_oxidation.value	iron_oxidation.value	iron_respiration.value	nitrate_respiration.value	nitrate_reduction.value	nitrogen_respiration.value	fumarate_respiration.value	intracellular_parasites.value	chlorate_reducers.value	predatory_or_exoparasitic.value	anoxygenic_photoautotrophy_H2_oxidizing.value	anoxygenic_photoautotrophy_S_oxidizing.value	anoxygenic_photoautotrophy_Fe_oxidizing.value	anoxygenic_photoautotrophy.value	oxygenic_photoautotrophy.value	photoautotrophy.value	aerobic_anoxygenic_phototrophy.value	photoheterotrophy.value	phototrophy.value	plastic_degradation.value	ureolysis.value	reductive_acetogenesis.value	acetate_oxidation.value	lactate_oxidation.value	chemoheterotrophy.value	alginate_degradation.value	pectin_degradation.value	collagen_degradation.value	anaerobic_chemoheterotrophy.value	obligate_anaerobes.value	facultative_anaerobes.value	sulfur_reduction.value
EF101549.1.1513	Psychromonas_arctica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;Psychromonas arctica	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	P	A	P	U	U	U	P	A	P	U
AB052160.1.1446	Psychromonas_kaikoae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;Psychromonas kaikoae	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	P	A	A	U	U	U	U	U	U	P	P	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	P	A	P	A
AB023378.1.1501	Psychromonas_marina	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;Psychromonas marina	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	P	U	U	P	A	P	U
AJ416756.1.1496	Psychromonas_profunda	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;Psychromonas profunda	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	P	A	P	U
U62912.1.1485	Psychroserpens_burtonensis	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroserpens;Psychroserpens burtonensis	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	A	U	U	U	A	A	A	U	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	U	P	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	A
DQ767881.1.1555	Psychrosinus_fermentans	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus;Psychrosinus fermentans	U	A	A	A	A	A	A	A	U	U	A	A	A	A	A	U	A	A	A	U	A	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	A	U	P	P	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	U	P	U	P	U	U	U	P	P	A	U
AM931441.1.1530	Pullulanibacillus_uraniitolerans	Bacteria	Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Pullulanibacillus	Bacteria;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae;Pullulanibacillus;Pullulanibacillus uraniitolerans	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	P	P	A	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	A	A	P	U	P	U	A	A	A	U
AM749787.1.1432	Pyrinomonas_methylaliphatogenes	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Pyrinomonas	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Pyrinomonas;Pyrinomonas methylaliphatogenes	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	U	U	U	U	A	U	U
L07510.1.2210	Pyrobaculum_aerophilum	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum aerophilum	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	A	P	P	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	P	P	U	U	U	U	P	P	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	P	U	P	U	U	U	P	A	U	P
AJ277124.39.1418	Pyrobaculum_arsenaticum	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum arsenaticum	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	P	P	U	P	P	U	U	U	U	A	U	U	U	A	P	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	A	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	P	P	A	P
CP003098.127217.130816	Pyrobaculum_ferrireducens	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum ferrireducens	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	A	P	P	U	P	P	U	U	U	U	U	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	A	P	U	U	U	P	P	A	P
L07511.1.1474	Pyrobaculum_islandicum	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum islandicum	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	A	P	U	U	U	P	P	A	P
Z70246.1.1340	Pyrococcus_abyssi	Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus abyssi	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	A	A	U	U	U	U	U	U	U	U	A	A	U	A	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	U	U	U	P	U	U	U	U	P	A	U
AB603518.1.1321	Pyrococcus_furiosus	Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus furiosus	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	P
AY099168.1.1408	Pyrococcus_glycovorans	Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus glycovorans	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	A	A	U	U	U	U	U	U	U	U	A	A	U	A	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	U	U	U	P	U	U	U	U	P	A	P
AY099169.1.1454	Pyrococcus_horikoshii	Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus horikoshii	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	U
HE654000.1.1465	Pyrococcus_woesei	Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus woesei	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	A	A	U	U	U	U	U	U	U	U	A	A	U	A	U	U	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	U	U	U	P	U	U	U	U	P	A	P
KC139249.1.1317	Pyrodictium_abyssi	Archaea	Thermoproteota	Thermoproteia	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Pyrodictiaceae;Pyrodictium;Pyrodictium abyssi	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	P	U	P	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	P
KC139250.1.1334	Pyrodictium_brockii	Archaea	Thermoproteota	Thermoproteia	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Pyrodictiaceae;Pyrodictium;Pyrodictium brockii	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	P	U	P	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	P	U	U	P	A	P	A	A	P	U	U	U	U	U	P	U	U	U	A	P	A	P
M21087.1.1497	Pyrodictium_occultum	Archaea	Thermoproteota	Thermoproteia	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Pyrodictiaceae;Pyrodictium;Pyrodictium occultum	U	U	U	U	U	U	U	U	U	U	A	A	A	U	P	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	P	U	P	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	P
AJ233426.1.1473	Rahnella_aquatilis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aquatilis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	P	U	U	U	U	P	U	U	U	P	A	P	U
AB004790.1.1468	Ralstonia_pickettii	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia pickettii	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	U	P	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	P	P	U	U	U	P	U	U	U	U	A	""	""
AH004176.1.1445	Ralstonia_solanacearum	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia solanacearum	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	U	U	U	U	U	U	U
AB021403.1.1513	Ralstonia_syzygii	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia syzygii	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U
AB004756.1.1441	Raoultella_ornithinolytica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;Raoultella ornithinolytica	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	P	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	U	A	U	P	A	P	A
Y17870.1.1464	Rarobacter_faecitabidus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Rarobacteraceae	Rarobacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Rarobacteraceae;Rarobacter;Rarobacter faecitabidus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	P	A	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
AB056129.1.1493	Rarobacter_incanus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Rarobacteraceae	Rarobacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Rarobacteraceae;Rarobacter;Rarobacter incanus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	A	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
EU379250.1.1402	Rathayibacter_caricis	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter caricis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	P
AM410683.1.1487	Rathayibacter_festucae	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter festucae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	P
U96184.1.1270	Rathayibacter_iranicus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter iranicus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	P
U96186.1.1272	Rathayibacter_rathayi	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Rathayibacter rathayi	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	P	U	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	P
CP013292.400306.401835	Rathayibacter_toxicus	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter toxicus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	U
U96185.1.1270	Rathayibacter_tritici	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter tritici	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	A	A	A	P
AB058919.1.1399	Reichenbachiella_agariperforans	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Reichenbachiella;Reichenbachiella agariperforans	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	A	U	U	U	A	A	A	P	A	U	U	U	U	U	U	A	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	P	U	U	A	A	A	A
X84316.1.1452	Rhabdochromatium_marinum	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rhabdochromatium	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rhabdochromatium;Rhabdochromatium marinum	U	A	A	A	A	A	A	A	U	U	A	A	A	A	A	U	A	A	A	U	A	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	A	U	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	A	U	U	U	P	P	U	P	A	P	A	U	P	U	U	U	U	U	A	U	U	U	A	P	A	U
HM856631.1.1472	Rhabdothermus_arcticus	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Rhabdothermus	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Rhabdothermus;Rhabdothermus arcticus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	P	U	U	U	P	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	A	A	A	A	A	A	U	U	U	U	U	U	U	U	P	U	U	U	U	A	P	P
EF076757.1.1492	Rheinheimera_aquimaris	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera;Rheinheimera aquimaris	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	U	A
